TIMESTAMP_START,TIMESTAMP_END,Site,Net Radiation,Latent Heat,Sensible Heat,Soil Heat Flux,Air Temp,Soil Temp,CO2 Flux,Fire
20110219,20110225,Ha1,98.05833333,9.33283,48.3292,-9999,-5.338,-0.217,11.2122,1
20110312,20110318,Ha1,109.1111111,12.7481,34.9768,-9999,3.29,-0.527,10.62,1
20110212,20110218,Ha1,83.65609903,10.5297,12.9526,-9999,-0.117,-0.115,10.0966,1
20110305,20110311,Ha1,-9999,7.74881,4.42343,-9999,1.686,-0.361,9.80831,1
20110226,20110304,Ha1,87.02083333,12.6612,31.6399,-9999,-4.295,-0.248,9.52123,1
20101217,20101223,Ha1,57.72916667,7.33718,7.72432,-9999,-4.109,-0.098,6.77042,1
19930129,19930204,Ha1,43.65346791,13.7761,40.421,-9999,-5.012,-1.293,6.30687,1
20101224,20101231,Ha1,53.23809524,6.46241,-6.58028,-9999,-4.44,-0.142,5.83564,1
19971126,19971202,Ha1,0.410533911,14.293,-2.54464,-9999,-0.635,3.185,5.4721,1
20000610,20000616,Blo,208.5699594,90.3052,82.1174,8.88813,19.936,17.042,4.89217,1
19921223,19921231,Ha1,17.41565794,12.9572,-0.441851,-9999,-1.483,0.591,4.83661,1
20110319,20110325,Ha1,96.05416667,18.2859,50.5899,-9999,-0.515,-0.573,4.83503,1
20010430,20010506,Ha1,149.1805556,44.7169,105.259,-9999,18.276,14.072,4.70534,1
20110205,20110211,Ha1,68.64333333,9.81771,17.7939,-9999,-5.317,-0.149,4.69431,1
20051001,20051007,WCr,43.92473264,11.0593,8.81006,9.38055,14.365,15.452,4.62142,1
20031126,20031202,Syv,-9999,1.81971,-7.19068,-6.15585,-5.273,0.883,4.43272,1
19930205,19930211,Ha1,-9999,9.50968,34.356,-9999,-3.562,-0.832,4.4323,1
19971203,19971209,Ha1,-9999,2.72891,-0.850275,-9999,-0.019,2.648,4.2197,1
20000617,20000623,Blo,218.1352846,101.135,92.0661,6.8631,20.696,19.155,4.12481,1
20000506,20000512,Ha1,121.0190217,44.1338,60.8926,-9999,18.293,13.848,4.07421,1
20031119,20031125,Ha1,-9999,8.4887,2.91614,-9999,7.154,6.331,3.9922,1
20100430,20100506,Ha1,178.7421569,5.85821,73.9377,-9999,17.229,0.263,3.97063,1
19930101,19930107,Ha1,17.88383838,11.6616,-5.11466,-9999,0.315,0.23,3.83908,1
20100115,20100121,Ha1,53.084843,41.7899,-13.2453,-9999,-0.713,15.882,3.80384,1
20140924,20140930,Syv,88.00260764,31.4835,16.2237,-9999,13.345,12.645,3.79308,1
20101203,20101209,Ha1,56.17361111,8.91152,30.6092,-9999,-4.739,-0.123,3.78825,1
20130514,20130520,WCr,150.3183,35.9833,80.7171,16.5944,17.186,11.768,3.70897,1
20131001,20131007,Syv,61.35270486,43.3198,-0.664476,-9999,11.272,11.612,3.65068,1
20000624,20000630,Blo,219.9431806,110.134,85.0527,6.92865,21.486,20.109,3.62862,1
20031112,20031118,Ha1,-9999,4.46388,12.8494,-9999,3.299,3.437,3.59491,1
20101022,20101028,Ha1,86.5,7.33836,17.5079,-9999,11.065,0.189,3.57417,1
19990430,19990506,WCr,-9999,30.8502,53.7426,14.6441,16.652,12.199,3.52022,1
20061112,20061118,Ha1,3.91540404,3.53369,-10.9697,-9999,10.285,9.383,3.49948,1
19930115,19930121,Ha1,21.1147343,6.37655,9.70966,-9999,-4.472,-0.14,3.47705,1
20131008,20131014,WCr,51.53672494,23.8686,32.0148,1.0104,12.49,11.784,3.46718,1
19971119,19971125,Ha1,2.172705314,8.48257,-3.32512,-9999,-0.499,3.73,3.46535,1
19961028,19961103,Ha1,-9999,6.61619,14.7963,-9999,5.096,9.032,3.38905,1
20000603,20000609,Blo,195.2919896,65.7544,104.106,2.79095,13.175,15.026,3.38786,1
20040429,20040505,Ha1,-9999,26.752,69.3225,-9999,12.677,13.099,3.38035,1
20140521,20140527,WCr,169.2576873,34.6589,70.8808,13.9407,16.866,13.171,3.36227,1
20130924,20130930,Syv,100.5852569,63.6343,9.57242,-9999,13.905,12.643,3.34413,1
20120415,20120421,Ha1,91.09722222,31.7946,118.451,-9999,15.388,11.304,3.32855,1
20070326,20070401,Syv,63.89478125,14.2568,15.2611,11.7348,4.053,1.476,3.29183,1
20000520,20000526,Blo,203.0827431,81.0626,98.2074,10.7346,19.35,16.477,3.25849,1
19941029,19941104,Ha1,10.43154762,14.7446,11.1154,-9999,11.353,10.289,3.24513,1
20130917,20130923,Syv,-9999,62.7456,1.22904,-9999,8.229,10.826,3.22614,1
20061105,20061111,Ha1,18.52272727,9.66679,12.1684,-9999,8.326,7.213,3.21918,1
20031015,20031021,Ha1,-9999,10.3047,14.2338,-9999,9.694,8.772,3.19078,1
20101119,20101125,Ha1,-9999,7.78668,1.3844,-9999,2.726,0.124,3.18751,1
20031105,20031111,Ha1,-9999,7.79364,17.7291,-9999,3.549,3.478,3.17956,1
20051008,20051014,WCr,55.59719792,14.1227,26.0425,2.85571,9.46,11.477,3.14628,1
20031210,20031216,Syv,-3.773444444,-0.220397,-6.30445,-4.74446,-9.863,0.721,3.11466,1
20031119,20031125,Syv,0.398173611,3.21289,-12.9866,-9.4089,-3.595,1.631,3.10175,1
20010430,20010506,WCr,134.0460999,26.8693,43.7237,17.9508,14.08,12.572,3.0859,1
20101210,20101216,Ha1,49.92222222,4.33017,4.72149,-9999,-4.28,-0.204,3.08201,1
20091126,20091202,Ha1,44.19444444,42.6304,-14.9795,-9999,-5.501,15.89,3.04655,1
20130910,20130916,Syv,-9999,68.3848,-0.328246,-9999,13.885,10.61,3.02917,1
20141126,20141202,Me2,-9999,19.0717,-24.1617,-2.2921,4.908,0.911,3.02441,1
20031203,20031209,Syv,-0.268548611,1.02289,-4.17831,-5.74682,-3.642,0.352,3.02356,1
20011126,20011202,Ha1,20.03156566,9.1123,-2.57861,-9999,8.029,7.716,3.02292,1
20101126,20101202,Ha1,-9999,8.35163,7.35655,-9999,1.243,0.068,2.98002,1
20031008,20031014,WCr,47.98619097,10.718,18.4714,7.04737,13.522,12.752,2.97966,1
19941105,19941111,Ha1,16.17964976,17.2889,17.8551,-9999,8.431,10.024,2.97748,1
20100122,20100128,Ha1,56.45138889,42.6304,-8.85691,-9999,-1.099,15.89,2.93976,1
20031022,20031028,Ha1,-9999,9.89299,9.04591,-9999,7.99,8.845,2.93549,1
20040422,20040428,Ha1,-9999,37.4738,83.9566,-9999,8.432,10.648,2.93481,1
20100108,20100114,Ha1,52.69444444,42.8682,8.97439,-9999,-7.912,15.882,2.91698,1
19930122,19930128,Ha1,-9999,7.44287,14.0345,-9999,-2.612,-0.445,2.8872,1
20141203,20141209,Me2,-9999,28.8282,-36.4431,-1.32087,7.804,0.845,2.88205,1
20010423,20010429,Ha1,149.7288647,30.165,114.424,-9999,13.447,11.418,2.87874,1
19971105,19971111,Ha1,3.511594203,11.5473,8.36846,-9999,4.15,7.482,2.87787,1
20001021,20001027,WCr,28.34336458,4.38713,12.7801,11.8194,11.346,11.346,2.87117,1
20011008,20011014,WCr,40.28108333,9.28484,9.63745,5.44927,9.555,10.016,2.86292,1
20031224,20031231,Syv,3.680190476,2.96008,-8.70135,-5.1797,-4.001,0.851,2.85943,1
20101029,20101104,Ha1,78.61458333,7.18736,21.6752,-9999,3.91,0.183,2.85499,1
20031126,20031202,Ha1,-9999,9.8794,9.97559,-9999,-0.805,2.081,2.85201,1
20050507,20050513,WCr,102.8732604,15.4832,40.4643,14.3334,9.937,10.221,2.80289,1
20100219,20100225,Ha1,87.41666667,42.8682,16.7405,-9999,0.29,15.882,2.79004,1
20140507,20140513,WCr,125.5842406,25.5043,49.2947,8.93312,11.767,10.197,2.78921,1
19931112,19931118,Ha1,3.350378788,45.2884,10.3546,-9999,16.99,7.23,2.78892,1
20041125,20041201,Ha1,-9999,6.11283,-4.56568,-9999,3.754,5.185,2.78401,1
20131001,20131007,WCr,49.90365972,22.2917,12.8745,1.87792,11.914,12.863,2.77863,1
20031217,20031223,Syv,-3.073427083,0.416027,-8.43459,-4.57266,-7.395,0.871,2.77691,1
20020618,20020624,WCr,-9999,54.1302,7.05431,15.7487,20.656,17.588,2.77585,1
20130716,20130722,Me2,188.2980764,70.2713,103.065,6.60026,22.163,21.266,2.77055,1
19931105,19931111,Ha1,11.12351779,49.4995,23.3969,-9999,17.38,6.54,2.76454,1
20120805,20120811,Me2,174.1589722,91.7657,81.1017,2.73361,21.24,19.974,2.76316,1
20091210,20091216,Ha1,46.98333333,41.7899,1.39957,-9999,-5.34,15.882,2.73965,1
20121028,20121103,Ha1,17.00545635,15.854,1.92186,-9999,8.261,11.111,2.73146,1
20140709,20140715,Me2,169.036399,94.1969,74.8669,5.78323,22.99,20.69,2.71868,1
20041021,20041027,WCr,24.12991319,3.83644,7.01189,7.09316,7.044,9.108,2.70489,1
20090108,20090114,Ha1,-9999,9.80512,5.64078,-9999,-8.184,0.629,2.6991,1
20061126,20061202,Ha1,3.066666667,1.9469,-6.43132,-9999,8.167,6.9,2.67457,1
20031112,20031118,Syv,6.802666667,0.795958,-3.59621,-2.11934,0.658,1.989,2.67226,1
19960422,19960428,Ha1,137.4166667,36.5497,113.031,-9999,11.174,9.162,2.67193,1
20051015,20051021,WCr,44.62683681,10.081,23.4198,1.58372,7.493,10.152,2.62987,1
20070402,20070408,Syv,54.95260764,9.14411,46.9295,-2.86443,-7.026,0.456,2.62745,1
19940507,19940513,Ha1,114.2318841,50.2128,104.685,-9999,10.224,9.603,2.61655,1
20061001,20061007,WCr,-9999,17.0385,31.0462,5.95204,12.212,11.279,2.60719,1
20100212,20100218,Ha1,74.22222222,42.6304,26.7933,-9999,-3.488,15.89,2.60641,1
20000429,20000505,WCr,174.1313949,25.3739,97.8305,21.1389,14.727,11.322,2.602,1
19970430,19970506,Ha1,122.1666667,43.0476,89.192,-9999,9.121,8.108,2.59854,1
20090129,20090204,Ha1,-9999,8.35319,27.0495,-9999,-5.331,0.549,2.5802,1
20031029,20031104,Ha1,-9999,15.1968,17.3179,-9999,7.961,9.101,2.58008,1
19991112,19991118,Ha1,-9999,13.0191,23.5721,-9999,-0.025,7.623,2.57649,1
19951029,19951104,Ha1,10.45138889,22.2211,0.209554,-9999,4.386,10.309,2.57129,1
19991029,19991104,Ha1,35.29545455,11.5893,10.281,-9999,11.481,11.706,2.5683,1
