TIMESTAMP_START,TIMESTAMP_END,Site,Net Radiation,Latent Heat,Sensible Heat,Soil Heat Flux,Air Temp,Soil Temp,CO2 Flux,
20090101,20090107,AR1,-9999,76.9667,23.7968,-9999,-9999,-9999,1.99559,
20090108,20090114,AR1,-9999,80.6403,25.5486,-9999,-9999,-9999,1.9836,
20090115,20090121,AR1,-9999,78.2034,23.7495,-9999,-9999,-9999,1.93444,
20090122,20090128,AR1,-9999,76.9667,23.7968,-9999,-9999,-9999,1.99559,
20090129,20090204,AR1,-9999,80.6403,25.5486,15.1465,-9999,-9999,1.9836,
20090205,20090211,AR1,-9999,78.2034,23.7495,13.4705,-9999,-9999,1.93444,
20090212,20090218,AR1,-9999,76.9667,23.7968,11.6203,-9999,-9999,1.99559,
20090219,20090225,AR1,-9999,80.6403,25.5486,13.4041,-9999,-9999,1.9836,
20090226,20090304,AR1,-9999,78.2034,23.7495,13.4705,-9999,-9999,1.93444,
20090305,20090311,AR1,-9999,76.9667,23.7968,11.6203,-9999,-9999,1.99559,
20090312,20090318,AR1,-9999,80.6403,25.5486,13.4041,-9999,-9999,1.9836,
20090319,20090325,AR1,-9999,78.2034,23.7495,13.4705,-9999,-9999,1.93444,
20090326,20090401,AR1,-9999,76.9667,23.7968,11.6203,-9999,-9999,1.99559,
20090402,20090408,AR1,-9999,80.6403,25.5486,13.4041,-9999,-9999,1.9836,
20090409,20090415,AR1,-9999,78.2034,23.7495,13.4705,-9999,-9999,1.93444,
20090416,20090422,AR1,-9999,76.9667,23.7968,11.6203,17.936,18.34,1.99559,
20090423,20090429,AR1,-9999,83.5473,27.3009,16.2408,18.316,18.146,1.87262,
20090430,20090506,AR1,-9999,60.6911,12.4765,1.3329,13.744,15.263,1.06874,
20090507,20090513,AR1,-9999,102.747,21.5661,7.62544,18.102,19.743,-1.63778,
20090514,20090520,AR1,-9999,129.961,21.6496,6.95521,18.034,20.485,-1.09979,
20090521,20090527,AR1,-9999,108.26,38.0597,8.92161,19.424,23.085,-1.10806,
20090528,20090603,AR1,-9999,114.178,43.3389,13.9161,22.224,24.652,-1.68458,
20090604,20090610,AR1,120.9045308,87.9449,29.1259,13.0109,23.36,25.854,-1.35647,
20090611,20090617,AR1,128.7182083,85.7418,41.9895,12.6545,24.889,26.8,-0.550392,
20090618,20090624,AR1,124.6899498,98.0162,42.025,14.2667,28.671,30.104,-0.145373,
20090625,20090701,AR1,144.8673832,102.183,48.2531,12.9911,28.243,30.822,0.91582,
20090702,20090708,AR1,128.1424961,78.8929,68.5811,10.0929,26.723,30.617,-0.0338805,
20090709,20090715,AR1,115.3114057,68.6156,59.1084,17.856,33.058,34.95,0.742017,
20090716,20090722,AR1,120.6286616,77.1877,57.6787,0.553221,24.605,29.044,1.13817,
20090723,20090729,AR1,116.8144775,47.2078,66.2618,8.97845,25.918,30.997,0.967739,
20090730,20090805,AR1,125.162949,48.8749,86.6184,7.25606,26.315,29.767,1.07391,
20090806,20090812,AR1,105.2001905,29.3947,93.3076,6.88149,28.219,32.429,1.12963,
20090813,20090819,AR1,98.51453221,52.1118,78.8806,3.67825,26.149,30.602,2.09882,
20090820,20090826,AR1,130.2231701,100.942,36.399,2.40706,25.377,27.095,0.713742,
20090827,20090902,AR1,104.7739755,53.5026,55.9285,7.00739,21.792,27.139,0.0870612,
20090903,20090909,AR1,76.91629476,23.5287,67.5907,8.75328,23.013,28.197,1.17597,
20090910,20090916,AR1,68.78689583,39.9459,40.6297,-4.66651,20.015,24.502,2.31621,
20090917,20090923,AR1,75.789625,25.7173,62.2928,-3.32868,17.907,21.958,1.63746,
20090924,20090930,AR1,61.17097385,22.263,52.9611,3.39516,18.391,20.364,1.18459,
20091001,20091007,AR1,49.23497647,17.9914,40.3383,-6.79217,12.59,18.119,0.808127,
20091008,20091014,AR1,-9999,34.2291,18.0941,-11.9594,8.08,12.704,1.20287,
20091015,20091021,AR1,79.059432,42.5402,33.7696,-1.23852,12.635,12.819,1.60913,
20091022,20091028,AR1,-9999,38.8872,16.2989,-3.64737,11.087,10.335,1.15434,
20091029,20091104,AR1,35.59527083,43.0098,16.0453,-3.76261,10.865,10.23,0.831139,
20091105,20091111,AR1,25.93071528,22.7184,8.39879,3.91196,16.017,14.189,1.00549,
20091112,20091118,AR1,9.370083333,23.6033,7.82245,-8.86446,8.852,10.583,0.586229,
20091119,20091125,AR1,22.00787847,18.1126,22.464,-4.1274,6.81,7.795,-0.00779736,
20091126,20091202,AR1,8.468958333,15.3044,12.2266,-3.71439,7.139,7.225,-0.000640671,
20091203,20091209,AR1,2.217520833,9.50737,24.1125,-12.4656,-4.427,1.499,0.122245,
20091210,20091216,AR1,9.362621528,9.53773,11.491,-1.62412,0.43,0.678,0.308699,
20091217,20091223,AR1,10.47670139,8.28268,11.3707,-0.41431,4.086,3.628,-0.211914,
20091224,20091231,AR1,10.1853869,16.3232,21.471,-5.0056,-1.274,1.178,0.0445047,
20100101,20100107,AR1,8.889128472,7.82994,25.3497,-9.12554,-4.697,-0.103,-0.00128901,
20100108,20100114,AR1,11.11305208,4.45141,16.7209,0.69936,-0.422,-0.621,0.262128,
20100115,20100121,AR1,17.1155625,7.94175,18.3975,2.84532,4.285,3.793,0.0464562,
20100122,20100128,AR1,22.75665625,25.9211,16.5784,-2.68974,4.309,4.799,0.305826,
20100129,20100204,AR1,4.713190972,4.79241,2.66278,-4.71527,-2.717,1.528,0.371988,
20100205,20100211,AR1,18.4799683,21.6745,10.683,-4.4449,-1.062,1.196,0.213288,
20100212,20100218,AR1,47.28241667,30.4659,29.4901,1.26146,2.425,1.414,0.267186,
20100219,20100225,AR1,28.47251042,23.2473,26.3333,-2.7128,-0.784,1.917,0.112329,
20100226,20100304,AR1,50.00155208,33.4644,27.9939,4.91047,4.641,4.585,-0.0690428,
20100305,20100311,AR1,31.80242014,28.7936,15.7943,2.45433,8.812,8.719,0.136841,
20100312,20100318,AR1,65.48561111,41.7625,43.431,2.70126,6.873,7.518,-0.617126,
20100319,20100325,AR1,54.68465278,56.6301,30.7587,0.109086,6.079,6.888,-0.852275,
20100326,20100401,AR1,82.73460069,61.5269,28.0437,8.07977,15.317,11.214,0.110773,
20100402,20100408,AR1,88.93438889,67.5545,37.5475,4.07014,15.217,14.966,-0.406912,
20100409,20100415,AR1,83.15503472,19.5534,70.0838,8.90674,18.092,17.473,1.43787,
20100416,20100422,AR1,53.98435417,51.3529,28.4989,0.508509,12.581,15.076,1.93227,
20100423,20100429,AR1,107.4135267,67.2932,67.6773,4.53489,15.879,16.263,2.09339,
20100430,20100506,AR1,113.3736574,33.1444,86.4054,7.30325,17.65,20.256,1.31707,
20100507,20100513,AR1,108.5359108,54.4735,94.7593,4.43651,15.453,20.679,1.47201,
20100514,20100520,AR1,108.201941,73.1733,60.2503,2.98898,16.391,20.054,1.72111,
20100521,20100527,AR1,112.2662894,101.053,44.2396,8.85079,22.327,22.667,1.93248,
20100528,20100603,AR1,144.6907431,110.768,49.0332,9.27936,24.598,26.38,0.331578,
20100604,20100610,AR1,133.114884,124.968,28.7693,11.1125,26.633,29.053,-1.39149,
20100611,20100617,AR1,128.4305215,135.616,23.1453,5.53869,25.293,27.781,-1.44715,
20100618,20100624,AR1,157.2251563,139.485,24.2483,10.7853,28.677,29.2,-1.23429,
20100625,20100701,AR1,150.9851794,92.8404,52.9382,10.1507,26.642,29.267,-1.46101,
20100702,20100708,AR1,104.6999306,105.547,24.1864,-0.650061,23.799,26.26,-0.461837,
20100709,20100715,AR1,162.5466806,132.361,38.7546,7.11966,27.011,27.686,-3.68887,
20100716,20100722,AR1,144.637125,130.578,34.4498,9.6109,29.593,29.009,-3.94623,
20100723,20100729,AR1,115.8767107,128.925,22.7421,2.84,26.674,27.88,-3.05893,
20100730,20100805,AR1,150.3146076,152.181,0.901111,4.73193,29.718,28.632,-3.5244,
20100806,20100812,AR1,145.5826701,133.992,18.7275,4.6926,29.874,29.243,-3.92043,
20100813,20100819,AR1,109.8709905,85.4675,40.5539,1.47178,26.253,28.5,-0.263032,
20100820,20100826,AR1,119.3351076,49.6246,66.965,3.13392,25.233,28.037,-0.206917,
20100827,20100902,AR1,101.2016319,40.2853,71.2404,8.45172,27.006,28.623,0.121805,
20100903,20100909,AR1,84.28979861,44.1984,66.1708,3.105,23.259,27.348,0.934599,
20100910,20100916,AR1,95.36342708,32.1918,55.2569,1.67183,25.281,27.241,0.323725,
20100917,20100923,AR1,94.94724653,83.9809,18.8439,0.623363,24.99,25.329,-0.720808,
20100924,20100930,AR1,90.61513889,71.5908,41.4426,-5.24988,18.917,21.783,-1.9103,
20101001,20101007,AR1,74.52648958,47.1353,41.7517,-1.47294,17.258,19.383,-1.60457,
20101008,20101014,AR1,51.91052778,29.5072,40.7947,-1.24123,16.878,19.494,-0.375356,
20101015,20101021,AR1,49.83882292,26.0812,28.3283,1.59619,19.124,19.486,0.220851,
20101022,20101028,AR1,29.22590972,38.6574,12.9644,-6.80696,14.268,16.063,0.515235,
20101029,20101104,AR1,33.24798264,23.291,30.9291,-4.73187,11.6,12.714,0.395011,
20101105,20101111,AR1,19.08265278,16.2386,13.0308,-1.42725,12.206,12.222,0.60695,
20101112,20101118,AR1,4.355417258,22.2592,7.84266,-8.67453,4.975,8.617,0.416673,
20101119,20101125,AR1,7.130201389,20.2813,5.26162,-4.02563,8.298,8.792,0.538144,
20101126,20101202,AR1,3.474013889,15.0696,12.7684,-7.08775,4.112,5.277,0.477265,
