TIMESTAMP_START,TIMESTAMP_END,Site,Net Radiation,Latent Heat,Sensible Heat,Soil Heat Flux,Air Temp,Soil Temp,CO2 Flux
20130101,20130107,Tw4,-9999,17.2913,9.68734,-9999,-9999,-9999,2.53199
20130108,20130114,Tw4,-9999,17.4222,9.77228,-9999,-9999,-9999,2.46851
20130115,20130121,Tw4,-9999,16.9403,9.47409,-9999,-9999,-9999,2.42021
20130122,20130128,Tw4,-9999,17.2913,9.68734,-9999,-9999,-9999,2.53199
20130129,20130204,Tw4,-9999,17.4222,9.77228,-9999,-9999,-9999,2.46851
20130205,20130211,Tw4,-9999,16.9403,9.47409,-9999,-9999,-9999,2.42021
20130212,20130218,Tw4,-9999,17.2913,9.68734,-9999,-9999,-9999,2.53199
20130219,20130225,Tw4,-9999,17.4222,9.77228,-9999,-9999,-9999,2.46851
20130226,20130304,Tw4,-9999,16.9403,9.47409,-9999,-9999,-9999,2.42021
20130305,20130311,Tw4,-9999,17.2913,9.68734,-9999,-9999,-9999,2.53199
20130312,20130318,Tw4,-9999,17.4222,9.77228,-9999,-9999,-9999,2.46851
20130319,20130325,Tw4,-9999,16.9403,9.47409,-9999,-9999,-9999,2.42021
20130326,20130401,Tw4,-9999,17.2913,9.68734,-9999,-9999,-9999,2.53199
20130402,20130408,Tw4,-9999,17.4222,9.77228,-9999,-9999,-9999,2.46851
20130409,20130415,Tw4,-9999,16.9403,9.47409,-9999,-9999,-9999,2.42021
20130416,20130422,Tw4,-9999,17.2913,9.68734,-9999,-9999,-9999,2.53199
20130423,20130429,Tw4,-9999,17.4222,9.77228,-9999,-9999,-9999,2.46851
20130430,20130506,Tw4,-9999,16.9403,9.47409,-9999,-9999,-9999,2.42021
20130507,20130513,Tw4,-9999,17.2913,9.68734,-9999,-9999,-9999,2.53199
20130514,20130520,Tw4,-9999,17.4222,9.77228,-9999,-9999,-9999,2.46851
20130521,20130527,Tw4,-9999,16.9403,9.47409,-9999,-9999,-9999,2.42021
20130528,20130603,Tw4,-9999,17.2913,9.68734,-9999,-9999,-9999,2.53199
20130604,20130610,Tw4,-9999,17.4222,9.77228,-9999,-9999,-9999,2.46851
20130611,20130617,Tw4,-9999,16.9403,9.47409,-9999,-9999,-9999,2.42021
20130618,20130624,Tw4,-9999,17.2913,9.68734,-9999,-9999,-9999,2.53199
20130625,20130701,Tw4,-9999,17.4222,9.77228,-9999,-9999,-9999,2.46851
20130702,20130708,Tw4,-9999,16.9403,9.47409,-9999,-9999,-9999,2.42021
20130709,20130715,Tw4,-9999,17.2913,9.68734,-9999,-9999,-9999,2.53199
20130716,20130722,Tw4,-9999,17.4222,9.77228,-9999,-9999,-9999,2.46851
20130723,20130729,Tw4,-9999,16.9403,9.47409,-9999,-9999,-9999,2.42021
20130730,20130805,Tw4,-9999,17.2913,9.68734,-9999,-9999,-9999,2.53199
20130806,20130812,Tw4,-9999,17.4222,9.77228,-9999,-9999,-9999,2.46851
20130813,20130819,Tw4,-9999,16.9403,9.47409,-9999,-9999,-9999,2.42021
20130820,20130826,Tw4,-9999,17.2913,9.68734,-9999,-9999,-9999,2.53199
20130827,20130902,Tw4,-9999,17.4222,9.77228,-7.51757,-9999,-9999,2.46851
20130903,20130909,Tw4,-9999,16.8527,9.50043,-6.503,-9999,-9999,2.42021
20130910,20130916,Tw4,-9999,17.2784,9.5428,-6.12516,-9999,-9999,2.5295
20130917,20130923,Tw4,-9999,17.3922,9.63446,-6.13747,-9999,-9999,2.41904
20130924,20130930,Tw4,-9999,16.9758,9.32021,-6.21557,-9999,-9999,2.36954
20131001,20131007,Tw4,-9999,17.3225,9.54571,-6.14448,-9999,-9999,2.43275
20131008,20131014,Tw4,-9999,17.4485,9.63436,-6.13645,-9999,-9999,2.40809
20131015,20131021,Tw4,-9999,17.0109,9.3297,-6.22456,-9999,-9999,2.35998
20131022,20131028,Tw4,-9999,17.3658,9.54966,-6.1536,-9999,-9999,2.41462
20131029,20131104,Tw4,-9999,17.5016,9.62885,-6.15709,-9999,-9999,2.40739
20131105,20131111,Tw4,-9999,17.0438,9.30752,-6.32525,-9999,-9999,2.36646
20131112,20131118,Tw4,-9999,17.3849,9.53664,-6.25525,8.952,10.637,2.41121
20131119,20131125,Tw4,-9999,17.1562,9.25514,-6.64854,9.017,10.564,2.338
20131126,20131202,Tw4,50.11761458,19.0851,9.32964,-2.91878,10.28,10.831,2.15039
20131203,20131209,Tw4,35.82006309,25.0055,4.06765,-12.3634,4.065,6.122,1.68617
20131210,20131216,Tw4,48.01980903,15.2843,8.22647,-4.97068,5.004,5.705,1.30174
20131217,20131223,Tw4,36.14944097,22.1155,-0.206849,-3.13381,7.939,7.275,1.41862
20131224,20131231,Tw4,44.31878274,13.1756,7.56866,-4.37026,7.278,7.049,1.26077
20140101,20140107,Tw4,47.32621528,13.5614,9.2996,-2.44473,8.003,7.455,1.32506
20140108,20140114,Tw4,38.52170486,15.7811,7.40284,-1.3107,9.434,8.909,1.2229
20140115,20140121,Tw4,50.78521181,16.2103,10.5153,-3.96608,8.861,8.218,1.09568
20140122,20140128,Tw4,56.2454375,15.8909,5.30872,2.32581,11.033,9.68,0.831718
20140129,20140204,Tw4,62.56394097,23.1875,6.21409,-4.08702,9.724,10.577,0.569563
20140205,20140211,Tw4,40.57223958,14.5022,0.379657,5.00638,10.937,11.432,1.1049
20140212,20140218,Tw4,67.71495486,30.0013,3.44955,3.98702,13.01,14.089,1.76688
20140219,20140225,Tw4,94.676875,40.4287,2.79146,3.72649,13.326,14.247,2.24838
20140226,20140304,Tw4,48.21954514,29.714,0.545168,-1.52399,12.883,13.893,1.94385
20140305,20140311,Tw4,112.9395451,69.5196,6.65859,3.36463,15.08,15.711,1.89297
20140312,20140318,Tw4,145.517875,85.1084,-2.51437,2.27239,15.634,15.935,1.9335
20140319,20140325,Tw4,158.0200104,78.6284,10.167,3.61335,14.954,16.925,1.39421
20140326,20140401,Tw4,85.67492708,53.6556,12.7139,-4.19029,12.061,15.077,1.50793
20140402,20140408,Tw4,162.5656944,74.4082,14.1086,9.94832,14.834,16.363,1.55109
20140409,20140415,Tw4,183.6532144,111.736,21.0737,3.01764,16.691,19.535,0.676936
20140416,20140422,Tw4,202.6933924,139.32,19.7114,0.0223988,17.113,19.309,1.0968
20140423,20140429,Tw4,191.2710382,103.438,22.5368,1.46152,14.779,17.177,-0.561827
20140430,20140506,Tw4,232.2970382,147.542,18.9059,2.32281,18.679,20.161,-0.581316
20140507,20140513,Tw4,234.6615625,133.982,14.2434,3.47708,17.932,18.627,0.555427
20140514,20140520,Tw4,239.9960556,156.356,6.16944,-0.340759,19.99,20.202,1.68274
20140521,20140527,Tw4,268.3846701,176.32,-0.264676,5.61392,21,20.43,2.15614
20140528,20140603,Tw4,264.2348229,146.139,13.1746,3.73282,18.781,20.696,1.67409
20140604,20140610,Tw4,276.9852049,162.331,3.69308,5.16903,22.993,22.523,2.81034
20140611,20140617,Tw4,265.9958848,146.055,17.2566,0.000284226,19.005,20.863,2.06353
20140618,20140624,Tw4,266.5009514,159.273,4.94033,3.10711,22.002,22.045,3.17892
20140625,20140701,Tw4,269.3049757,142.97,25.6681,3.68396,21.67,22.208,2.6071
20140702,20140708,Tw4,257.2680347,140.49,11.7729,5.30997,22.568,23.906,1.82514
20140709,20140715,Tw4,268.2948438,149.795,20.4757,1.48273,20.982,22.675,1.21286
20140716,20140722,Tw4,238.455191,142.275,28.2039,-0.646259,19.502,21.61,0.563235
20140723,20140729,Tw4,241.3424688,134.986,-3.01507,6.45729,24.345,24.789,0.117333
20140730,20140805,Tw4,220.808059,137.159,3.85017,1.01619,22.102,24.297,-0.398672
20140806,20140812,Tw4,229.8344201,146.677,8.05173,1.74612,21.337,24.202,-0.779625
20140813,20140819,Tw4,229.0733403,147.828,11.8158,1.16471,20.685,23.671,-0.8891
20140820,20140826,Tw4,219.5686493,139.804,14.344,-0.637524,19.728,22.603,-1.34809
20140827,20140902,Tw4,202.793934,140.544,-14.426,3.05032,23.107,23.766,-0.722856
20140903,20140909,Tw4,193.517,126.391,6.76349,-3.32588,19.348,22.31,-1.09598
20140910,20140916,Tw4,173.5019097,101.695,-11.2616,2.96838,23.058,23.173,-0.682443
20140917,20140923,Tw4,158.3916458,113.403,5.31645,-0.774491,20.631,22.5,-0.943738
20140924,20140930,Tw4,124.9229479,78.2044,6.20477,-1.01755,18.81,21.729,-0.364094
20141001,20141007,Tw4,130.5634097,70.8168,-8.61093,0.766762,21.655,21.564,-0.0494875
20141008,20141014,Tw4,116.8312396,89.102,-13.0576,-3.34823,20.264,20.983,-0.577595
20141015,20141021,Tw4,87.47287153,53.9004,1.02256,-2.96503,17.327,19.757,-0.714978
20141022,20141028,Tw4,79.94880556,48.2916,-0.162658,-4.48514,16.156,18.533,-0.827853
20141029,20141104,Tw4,59.87518403,32.196,3.10182,-6.44691,14.182,16.905,-0.646975
